Antenna,X (m),Y (m)
A1,0.0,0.0
A2,-0.6,0.0
A3,-0.25,0.0
A4,0.25,0.0
A5,0.6,0.0
A6,0.0,-0.6
A7,0.0,-0.25
A8,0.0,0.25
A9,0.0,0.6
