Antenna,X (m),Y (m)
A1,-0.8,0.5
A2,-0.25,0.5
A3,0.0,0.5
A4,0.25,0.5
A5,0.6,0.5
A6,0.0,0.25
A7,0.0,-0.1
A8,0.0,-0.5
A9,0.0,-1.0
