Antenna,X (m),Y (m)
A1,0.0,0.0
A2,-0.75,0.0
A3,-0.5,0.5
A4,0.0,0.75
A5,0.5,0.5
A6,0.75,0.0
A7,0.5,-0.5
A8,0.0,-0.75
A9,-0.5,-0.5
