Antenna,X (m),Y (m)
A1,1.0,0.5
A2,1.5,0.5
A3,1.0,1.5
A4,1.5,1.5
A5,0.5,2.0
A6,2.0,2.0
A7,0.5,1.0
A8,2.0,1.0
A9,1.25,1.0
