

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2024-10-24T07:48:11PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
52|MESSIER 087|187.70593 |  12.39112 |G|  1284| 0.004283 |UUN | 9.59|  0.000|3426|55|506|125|130|14|1
53|3C 279|194.04653 |  -5.78931 |QSO|160749| 0.536200 |SUN |15.2R|  0.000|1545|29|352|126|192|0|0
54|NGC 5128|201.36506 | -43.01911 |G|   547| 0.001825 |SUN | 7.84|  0.000|2337|33|532|134|117|22|0
55|3C 286|202.78453 |  30.50916 |QSO|254789| 0.849886 |SUN |17.3g|  0.000|844|15|252|70|52|9|0
56|IC 4296|204.16264 | -33.96585 |G|  3737| 0.012465 |UUN |11.61|  0.000|480|20|214|59|42|24|0
57|Centaurus B|206.70434 | -60.40815 |G|  3872| 0.012916 |SUN |15.7I|  0.000|77|4|68|18|11|5|0
58|SARCS 098|212.83537 |  52.20276 |G|138410| 0.461687 |SLS |19.8g|  0.000|474|8|173|35|34|10|0
59|MKW 03s|230.46605 |   7.70882 |GClstr| 13408| 0.044724 |UUN |15.5A|  0.000|268|1|9|35|61|0|1
60|WISEA J153955.06+342012.8|234.97942 |  34.33691 |G|110664| 0.369136 |SLS |18.6r|  0.000|8|1|43|8|3|4|2
61|2MASX J15405508+3430155|235.22968 |  34.50436 |G| 58214| 0.194180 |SLS |17.9g|  0.000|26|0|53|11|12|10|3
62|ESO 137- G 006|243.76589 | -60.90717 |G|  5444| 0.018159 |S1L |13.5B|  0.000|109|5|89|17|16|17|0
63|PKS 1630-47|248.65166 | -47.59902 |RadioS||||4.505|  0.000|3|0|4|1|0|0|0
64|PKS 1636-46|249.95224 | -46.85034 |HII||||     |  0.000|8|0|3|1|0|0|0
65|NVSS J165103+045941|252.76604 |   4.99497 |RadioS|||| 4.05|  0.000|2|0|1|2|0|0|0
66|Hercules A|252.78371 |   4.99271 |G| 46468| 0.155000 |UUN |17.7r|  0.000|339|11|177|26|21|8|1
67|NVSS J165111+045919|252.79758 |   4.98881 |RadioS|||| 4.06|  0.000|5|0|2|1|0|0|0
68|PMN J1718-3726|259.50958 | -37.44250 |HII||||     |  0.000|12|0|4|3|0|0|0
69|2MASS J17200670-3857311|260.02959 | -38.95953 |RadioS|||| 4.31|  0.000|0|0|11|3|0|0|0
70|NVSS J172025-005852|260.10617 |  -0.98117 |RadioS|||| 4.31|  0.000|3|0|1|1|0|0|0
71|3C 353|260.11738 |  -0.97964 |G|  9120| 0.030421 |SUN |15.36|  0.000|263|14|137|21|12|7|0
72|WISEA J172034.48-005845.7|260.14370 |  -0.97938 |RadioS|||| 4.49|  0.000|3|0|20|3|0|0|0
73|WISEA J172040.93-011157.2|260.17055 |  -1.19923 |G|  8574| 0.028600 |UUN |10.5K|  0.000|12|0|38|8|7|4|0
74|NVSS J172445-341032|261.18783 | -34.17567 |RadioS|||| 4.37|  0.000|0|0|1|1|0|0|0
75|ESO 588-PN 004|262.67296 | -21.47950 |PN||||     |  0.000|70|0|25|3|0|0|1
76|PKS 1737-30|265.06818 | -30.97191 |RadioS||||4.267|  0.000|14|0|8|2|0|0|0
77|NVSS J174534-292305|266.39279 | -29.38483 |RadioS|||| 4.11|  0.000|0|0|1|1|0|0|0
78|NVSS J174542-290525|266.42521 | -29.09039 |RadioS|||| 4.12|  0.000|0|0|1|1|0|0|1
79|NVSS J174543-290302|266.43100 | -29.05072 |RadioS|||| 4.38|  0.000|0|0|1|1|0|0|1
80|NVSS J174546-285828|266.44212 | -28.97453 |RadioS|||| 4.40|  0.000|0|0|1|1|0|0|2
81|NVSS J174618-291526|266.57783 | -29.25725 |RadioS|||| 4.11|  0.000|0|0|1|1|0|0|0
82|SSTSL2 J174639.69-290040.4|266.66539 | -29.01123 |RadioS|||| 4.12|  0.000|0|0|9|2|0|0|0
83|SSTSL2 J174648.56-291641.1|266.70234 | -29.27810 |RadioS|||| 4.15|  0.000|0|0|9|2|0|0|0
84|NVSS J174704-290317|266.76696 | -29.05483 |RadioS|||| 4.14|  0.000|0|0|1|1|0|0|0
85|NVSS J174711-290210|266.79858 | -29.03611 |RadioS|||| 4.23|  0.000|0|0|1|1|0|0|0
86|NVSS J180925-201924|272.35792 | -20.32353 |RadioS|||| 4.29|  0.000|3|0|1|1|0|0|2
87|PKS 1814-63|274.89585 | -63.76339 |G| 19385| 0.064660 |UUN |15.8r|  0.000|143|6|117|35|19|3|0
88|NVSS J182022-161041|275.09554 | -16.17825 |RadioS|||| 4.25|  0.000|0|0|1|1|0|0|0
89|NVSS J182026-161223|275.11210 | -16.20609 |RadioS|||| 4.27|  0.000|2|0|19|3|0|0|1
90|PKS 1821-12|275.98216 | -12.47712 |RadioS||||3.785|  0.000|10|0|5|1|0|0|0
91|3C 380|277.38242 |  48.74616 |QSO|207456| 0.692000 |SUN |16.81|  0.000|589|17|211|44|44|5|1
92|MRC 1828-021|277.85763 |  -2.09739 |HII||||>4.08|  0.000|7|0|6|3|0|0|3
93|NRAO 0569|278.84711 |  -7.32547 |RadioS|||| 4.95|  0.000|1|0|2|1|0|0|0
94|PN G025.4-00.2|279.56307 |  -6.79925 |PN||||     |  0.000|5|0|2|2|0|0|2
95|NRAO 0576|280.31136 |  -5.13509 |RadioS|||| 4.71|  0.000|1|0|2|1|0|0|0
96|3C 390.3|280.53746 |  79.77142 |G| 16829| 0.056135 |SUN |14.37|  0.000|1041|21|270|78|104|7|1
97|NRAO 0579|281.52931 |  -2.72341 |RadioS|||| 4.28|  0.000|2|0|1|1|0|0|0
98|3C 390.2|281.75696 |  -2.49482 |RadioS|||| 4.90|  0.000|1|0|1|1|0|0|0
99|PKS 1844-02|281.82564 |  -2.04449 |SNR||||     |  0.000|1|0|3|1|0|0|0
100|3C 391|282.33767 |  -0.91236 |HII|||| 4.31|  0.000|33|0|19|2|0|0|0
101|PKS 1850+01|283.32819 |   1.23303 |HII|||| 4.18|  0.000|8|0|6|3|0|0|0
102|3C 392|284.04304 |   1.31606 |RadioS|||| 5.23|  0.000|8|0|4|1|0|0|0
103|NRAO 0589|285.44800 |   1.78128 |RadioS|||| 4.14|  0.000|1|0|1|2|0|0|0
104|3C 396|286.02625 |   5.44042 |HII||||     |  0.000|23|0|16|2|0|0|2
105|3C 397|286.88710 |   7.14251 |HII||||     |  0.000|36|0|19|3|0|0|1
106|NVSS J191015+090619|287.56429 |   9.10531 |RadioS|||| 4.49|  0.000|0|0|1|1|0|0|0
107|NRAO 0598|287.57728 |   9.06852 |RadioS|||| 4.67|  0.000|1|0|2|1|0|0|0
108|3C 398|287.77500 |   9.09278 |SNR||||     |  0.000|30|0|13|4|0|0|1
109|NRAO 0602|288.91867 |  11.03891 |RadioS|||| 4.54|  0.000|1|0|1|1|0|0|0
110|NRAO 0607|289.53002 |  12.19173 |RadioS|||| 4.64|  0.000|4|0|3|2|0|0|0
111|3C 400|290.74167 |  14.19729 |RadioS|||| 5.76|  0.000|9|0|2|1|0|0|0
112|NVSS J192334+142953|290.89463 |  14.49825 |RadioS|||| 4.13|  0.000|1|0|1|1|0|0|1
113|NVSS J192342+143031|290.92712 |  14.50864 |RadioS|||| 4.57|  0.000|1|0|1|1|0|0|3
114|[HB89] 1921-293|291.21273 | -29.24170 |QSO|105715| 0.352627 |SLS |18.2V|  0.000|360|6|101|65|58|0|0
115|PKS 1932-46|293.98512 | -46.34458 |G| 69162| 0.230700 |UUN |18.6r|  0.000|81|6|56|14|8|0|1
116|PKS 1934-63|294.85428 | -63.71267 |G| 54349| 0.181290 |UUN |17.7r|  0.000|182|6|97|29|20|0|0
117|3C 403.2|298.56181 |  32.89873 |RadioS|||| 4.88|  0.000|1|0|2|1|0|0|1
118|Cygnus A|299.86815 |  40.73392 |G| 16848| 0.056200 |UUN |17.04|  0.000|1050|15|257|71|80|9|0
119|NRAO 0621|300.43736 |  33.29001 |RadioS|||| 4.74|  0.000|1|0|2|1|0|0|0
120|3C 409|303.61499 |  23.58129 |RadioS|164886| 0.550000 |PUN |4.898|  0.000|88|1|43|17|2|1|0
121|NGC 7017 NED01|316.83426 | -25.48762 |G| 10387| 0.034647 |SUN |13.5R|  0.000|26|0|46|13|8|3|0
122|NGC 7018|316.85562 | -25.42776 |GTrpl| 11634| 0.038807 |SUN |14.5 |  0.000|86|4|31|7|2|3|0
123|4C +52.48|318.17446 |  52.42344 |RadioS||||3.301|  0.000|3|0|3|2|0|0|0
124|3C 433|320.93556 |  25.06997 |GPair| 30459| 0.101600 |SUN |18.7 |  0.000|316|6|163|22|21|1|0
125|3C 434.1|321.14525 |  52.12100 |RadioS||||3.580|  0.000|19|0|11|5|0|0|0
126|NRAO 0660|321.27878 |  51.92042 |RadioS|||| 4.06|  0.000|1|0|2|1|0|0|0
127|NRAO 0662|322.35288 |  50.80308 |RadioS|||| 4.57|  0.000|1|0|1|1|0|0|0
128|ESO 075- G 041|329.27492 | -69.68991 |G|  8476| 0.028273 |SUN |14.3 |  0.000|217|9|145|50|39|20|1
129|3C 452|341.45301 |  39.68776 |G| 25134| 0.083838 |SLS |16.00|  0.000|341|9|181|36|37|7|1
130|3C 454.3|343.49062 |  16.14821 |QSO|257522| 0.859000 |SUN |16.1 |  0.000|1357|22|366|150|193|4|0
131|NGC 7538|348.41094 |  61.51238 |HII||||     |  0.000|7|0|3|3|0|0|0
132|NGC 7635|350.19002 |  61.21235 |HII||||     |  0.000|8|0|3|3|0|0|0
133|NVSS J232325+584856|350.85642 |  58.81572 |RadioS|||| 4.21|  0.000|0|0|1|1|0|0|0
134|NVSS J232334+584733|350.89492 |  58.79253 |RadioS|||| 4.15|  0.000|0|0|1|1|0|0|1
135|NVSS J232337+585007|350.90488 |  58.83550 |RadioS|||| 4.38|  0.000|0|0|1|1|0|0|0
136|PKS 2356-61|359.76794 | -60.91644 |G| 28872| 0.096307 |SUN |16.0 |  0.000|147|4|129|36|34|7|0
